Date,Location,Deaths,Injuries
"January 15, 2015","Milwaukee, Wisconsin",0,3
"January 16, 2015","Ocala, Florida",0,2
"February 4, 2015","Frederick, Maryland",0,2
"February 14, 2015","Merced, California",1,0
"February 23, 2015","Daytona Beach, Florida",0,3
"March 30, 2015","University City, Missouri",0,1
"April 13, 2015","Goldsboro, North Carolina",1,0
"April 16, 2015","Paradis, Louisiana",0,1
"April 27, 2015","Lacey, Washington",0,0
"May 12, 2015","Jacksonville, Florida",0,2
"May 24, 2015","Flint, Michigan",0,7
"August 27, 2015","Savannah, Georgia",1,0
"September 3, 2015","Sacramento, California",1,2
"September 14, 2015","Cleveland, Mississippi",2,0
"September 30, 2015","Harrisburg, South Dakota",0,1
"October 1, 2015","Roseburg, Oregon",10,9
"October 9, 2015","Flagstaff, Arizona",1,3
"October 9, 2015","Houston, Texas",1,1
"October 22, 2015","Nashville, Tennessee",1,3
"November 1, 2015","Winston-Salem, North Carolina",1,1
"November 20, 2015","North Las Vegas, Nevada",1,0
