Date,City,State,School Name,School Type
12/14/2018,Kansas City,MO,Winnetonka High School,High School
12/13/2018,Richmond,IN,Dennis Intermediate School,Middle School
12/11/2018,Cawood,KY,Cawood Elementary School,Elementary School
12/10/2018,Jefferson,OR,Jefferson High School,High School
11/29/2018,Cincinnati,OH,University of Cincinnati,College or University
11/28/2018,Philadelphia,PA,Strawberry Mansion High School,High School
11/24/2018,Columbus,OH,Africentric Early College,High School
11/22/2018,Des Moines,WA,Mount Rainier High School,High School
11/20/2018,Portsmouth,VA,Simonsdale Elementary School,Elementary School
11/17/2018,Dallas,TX,University of North Texas at Dallas,College or University
11/12/2018,Essex,MD,Eastern Technical High School,High School
11/10/2018,Akron,OH,University of Akron,College or University
11/9/2018,Denmark,SC,Voorhees College,College or University
11/8/2018,Santa Barbara,CA,Cleveland Elementary School,Elementary School
11/7/2018,Austell,GA,Garrett Middle School,Middle School
11/6/2018,Urbana,OH,Urbana University,College or University
11/4/2018,Lousville,KY,Crums Lane Elementary School,Elementary School
10/29/2018,Matthews,NC,Butler High,High School
10/25/2018,Detroit,MI,Cody High School,High School
10/22/2018,Salt Lake City,UT,University of Utah,College or University
10/22/2018,Bridgeport,CT,Dunbar Elementary School,Elementary School
10/15/2018,Baltimore,MD,University of Maryland,College or University
10/14/2018,Nashville,TN,McGavock High School,High School
10/12/2018,Battle Creek,MI,Battle Creek Academy,Elementary School
10/7/2018,Richmond,VA,Varina High School,High School
10/7/2018,Morgantown,WV,West Virginia University,College or University
10/5/2018,Norfolk,VA,Lake Taylor High School,High School
10/4/2018,Portland,OR,Jason Lee Elementary School,Elementary School
10/3/2018,Anchorage,AK,Denali Montessori Elementary School,Elementary School
10/2/2018,Little Rock,AR,Chicot Elementary School,Elementary School
9/27/2018,Carollton,TX,Hebron High School,High School
9/26/2018,Baltimore,MD,Maree Garnett Farring Elementary-Middle School,Elementary School
9/24/2018,Charlotte,NC,Lawrence Orr Elementary School,Elementary School
9/24/2018,Baxley,GA,Appling County High School,High School
